source,address,url,rent_eur,summary,beds,baths,furnished
property.ie,"Fernleigh Grove, Castleknock, Dublin 15, Castleknock, Dublin 15",https://www.property.ie/property-to-let/Fernleigh-Grove-Castleknock-Dublin-15-Castleknock-Dublin-15/6454413/,3500,"4 bedrooms (4 double), 3 bathrooms, unfurnished Apartment to Rent",4,3,No
property.ie,"Mount Garrett Park, Tyrrelstown, Tallaght, Dublin 15, Tyrrelstown, Dublin 15",https://www.property.ie/property-to-let/Mount-Garrett-Park-Tyrrelstown-Tallaght-Dublin-15-Tyrrelstown-Dublin-15/6454412/,2288,"3 bedrooms (3 double), 3 bathrooms, unfurnished Apartment to Rent",3,3,No
property.ie,"Apartment 5, The Alders, Saint Edmunds Avenue, Lucan, Dublin 20",https://www.property.ie/property-to-let/Apartment-5-The-Alders-Saint-Edmunds-Avenue-Lucan-Dublin-20/6454358/,1974,"1 bedroom (1 double), 1 bathroom, furnished Apartment to Rent",1,1,Yes
property.ie,"Apt 90, Cedar Square, Ridgewood, K67 V883, Swords, Co. Dublin",https://www.property.ie/property-to-let/Apt-90-Cedar-Square-Ridgewood-K67-V883-Swords-Co-Dublin/6454363/,2350,"2 bedrooms (2 double), 1 bathroom, furnished Apartment to Rent",2,1,Yes
property.ie,"Apt 292, Argyle, Custom House Harbour Apartments, D01 F838, IFSC, Dublin 1",https://www.property.ie/property-to-let/Apt-292-Argyle-Custom-House-Harbour-Apartments-D01-F838-IFSC-Dublin-1/6454376/,2595,"2 bedrooms (2 double), 1 bathroom, furnished Apartment to Rent",2,1,Yes
property.ie,"Apartment, Fortlands, Merrion, Dublin 4",https://www.property.ie/property-to-let/Apartment-Fortlands-Merrion-Dublin-4/6454374/,2600,"2 bedrooms (2 double), 2 bathrooms, furnished Apartment to Rent",2,2,Yes
property.ie,"Phibsborough, North Circular Road, Dublin 7",https://www.property.ie/property-to-let/Phibsborough-North-Circular-Road-Dublin-7/6454336/,3600,"4 bedrooms (1 single, 3 double), 1 bathroom, furnished House to Rent",1,1,Yes
property.ie,"Apartment 306, Block 2c, Spencer Place Residential, IFSC, Dublin 1",https://www.property.ie/property-to-let/Apartment-306-Block-2c-Spencer-Place-Residential-IFSC-Dublin-1/6454256/,2295,Studio (1 single) Studio apartment to Rent,1,1,Unknown
property.ie,"Apartment 86, The Clayton, The Gasworks, Grand Canal Dock, Dublin 4",https://www.property.ie/property-to-let/Apartment-86-The-Clayton-The-Gasworks-Grand-Canal-Dock-Dublin-4/6452811/,2365,"2 bedrooms (2 double), 2 bathrooms, furnished Apartment to Rent",2,2,Yes
property.ie,"Prussia St, Stoneybatter, Dublin 7, Stoneybatter, Dublin 7",https://www.property.ie/property-to-let/Prussia-St-Stoneybatter-Dublin-7-Stoneybatter-Dublin-7/6454346/,6200,"5 bedrooms (5 double), 5 bathrooms, unfurnished House to Rent",5,5,No
property.ie,"29a Inbhir Ide, Malahide, Co. Dublin",https://www.property.ie/property-to-let/29a-Inbhir-Ide-Malahide-Co-Dublin/6454301/,2800,"4 bedrooms (1 single, 3 double), 2 bathrooms, unfurnished House to Rent",1,2,No
property.ie,"63 Waterside Court, Waterside, Malahide, Co. Dublin",https://www.property.ie/property-to-let/63-Waterside-Court-Waterside-Malahide-Co-Dublin/6454300/,2200,"1 bedroom (1 double), 1 bathroom, furnished Apartment to Rent",1,1,Yes
property.ie,"Apartment 1, 44 Cabra Park, Phibsborough, Dublin 7",https://www.property.ie/property-to-let/Apartment-1-44-Cabra-Park-Phibsborough-Dublin-7/6454228/,1850,"1 bedroom (1 double), 1 bathroom, furnished Apartment to Rent",1,1,Yes
property.ie,"Apartment 4, 25 Richmond Hill, Rathmines, Dublin 6",https://www.property.ie/property-to-let/Apartment-4-25-Richmond-Hill-Rathmines-Dublin-6/6454258/,1350,Studio (1 single) Studio apartment to Rent,1,1,Unknown
property.ie,"Apartment 2, 50 Castle Avenue, Clontarf, Dublin 3",https://www.property.ie/property-to-let/Apartment-2-50-Castle-Avenue-Clontarf-Dublin-3/6454251/,2250,"1 bedroom (1 double), 1 bathroom, furnished Apartment to Rent",1,1,Yes
property.ie,"6 Larkfield Dale, Clay Farm, Leopardstown, Dublin 18",https://www.property.ie/property-to-let/6-Larkfield-Dale-Clay-Farm-Leopardstown-Dublin-18/6454239/,3725,"3 bedrooms (3 double), 3 bathrooms, furnished House to Rent",3,3,Yes
property.ie,"Parklands, Northwood, Santry, Dublin 9, Santry, Dublin 9",https://www.property.ie/property-to-let/Parklands-Northwood-Santry-Dublin-9-Santry-Dublin-9/6454248/,2111,"2 bedrooms (2 double), 2 bathrooms, unfurnished Apartment to Rent",2,2,No
property.ie,"Dublin 24, Tallaght, Dublin 24",https://www.property.ie/property-to-let/Dublin-24-Tallaght-Dublin-24/6454101/,300,Studio (1 single) Studio apartment to Rent,1,1,Unknown
property.ie,"3 Fairways Park, Stillorgan Road, Foxrock, Dublin 18",https://www.property.ie/property-to-let/3-Fairways-Park-Stillorgan-Road-Foxrock-Dublin-18/6454098/,3500,"3 bedrooms (3 double), 2 bathrooms, furnished Apartment to Rent",3,2,Yes
property.ie,"Adelaide St, Dun Laoghaire, Co. Dublin",https://www.property.ie/property-to-let/Adelaide-St-Dun-Laoghaire-Co-Dublin/6448530/,1875,"1 bedroom (1 double), 1 bathroom, furnished Apartment to Rent",1,1,Yes
property.ie,"50 Lansdowne Park, Ballsbridge, Dublin 4",https://www.property.ie/property-to-let/50-Lansdowne-Park-Ballsbridge-Dublin-4/6450221/,3673,"2 bedrooms (2 double), 3 bathrooms, furnished House to Rent",2,3,Yes
property.ie,"Huntstown, Mulhuddart, Co. Dublin",https://www.property.ie/property-to-let/Huntstown-Mulhuddart-Co-Dublin/6454090/,1500,Studio (1 single) Studio apartment to Rent,1,1,Unknown
property.ie,"Bridge Water Quay, Conyngham Road, Kilmainham, Dublin 8",https://www.property.ie/property-to-let/Bridge-Water-Quay-Conyngham-Road-Kilmainham-Dublin-8/6453997/,4000,"3 bedrooms (3 double), 2 bathrooms, furnished House to Rent",3,2,Yes
property.ie,"11 Edenbrook Grove, Citywest, Dublin 24, Citywest, Co. Dublin",https://www.property.ie/property-to-let/11-Edenbrook-Grove-Citywest-Dublin-24-Citywest-Co-Dublin/6454066/,3000,"3 bedrooms (1 single, 2 double), 3 bathrooms, furnished House to Rent",1,3,Yes
property.ie,"14 Church Avenue South, Dublin 8, Rialto, Dublin 8",https://www.property.ie/property-to-let/14-Church-Avenue-South-Dublin-8-Rialto-Dublin-8/6454017/,3500,"3 bedrooms (3 double), 2 bathrooms, furnished House to Rent",3,2,Yes
