source,address,url,rent_eur,summary,beds,baths,furnished
daft.ie,"The Ironworks, Dundrum Town, Dundrum, Dublin 14",https://www.daft.ie/for-rent/the-ironworks-dundrum-town-dundrum-dublin-14/6282327,2450,Exceptional Rental Living in Dundrum Town,1,1,Unknown
daft.ie,"Grand Canal Harbour, Grand Canal Place, Dublin 8",https://www.daft.ie/for-rent/grand-canal-harbour-grand-canal-place-dublin-8-grand-canal-harbour-grand-canal-place-dublin-8-dublin-8/5577193,2115,Discover Dublin 8: Your Perfect Home Awaits!,1,1,Unknown
daft.ie,"Claremont, Howth Road, Howth, Dublin 13",https://www.daft.ie/for-rent/claremont-howth-dublin-dublin-13-howth-road-howth-co-dublin/6124178,2150,Luxury Seafront Living ,1,1,Unknown
daft.ie,"Occu Owenmore, Station Road, Raheny, Dublin 5",https://www.daft.ie/for-rent/occu-owenmore-station-manor-raheny-dublin-5/6116516,2650,Better Renting. That's different. ,2,2,Unknown
daft.ie,"Alta Verde, Blackrock, Cross Avenue, Blackrock, Co. Dublin",https://www.daft.ie/for-rent/alta-verde-blackrock-cross-avenue-blackrock-co-dublin/6117164,2295,Sunday Viewings Now Available!,1,1,Unknown
daft.ie,"Griffith Wood, Griffith Avenue, Drumcondra, Dublin 9",https://www.daft.ie/for-rent/griffith-wood-griffith-avenue-drumcondra-dublin-9/3523580,2300,Apartments to Rent,1,1,Unknown
daft.ie,"Niche Living Rathmines, Ardee Road, Rathmines, Dublin 6",https://www.daft.ie/for-rent/niche-living-private-studios-all-bills-incl-ardee-road-rathmines-dublin-6/5705487,2090,"All bills, all perks, all yours – serviced studios from €2,090, now available!",1,1,Unknown
daft.ie,"Eglinton Place , Eglinton Road, Dublin 4",https://www.daft.ie/for-rent/eglinton-place-eglinton-road-dublin-4/5811433,3550,Luxury Living in the heart of Dublin 4,2,2,Unknown
daft.ie,"Niche Living Ballsbridge, 98 Merrion Road, Dublin 4",https://www.daft.ie/for-rent/niche-living-ballsbridge-98-merrion-road-dublin-4/6259797,2090,"All bills, all perks, all yours – serviced studios from €2,090, now available!",1,1,Unknown
daft.ie,"Glenamuck Manor , Glenamuck Road, Dublin 18",https://www.daft.ie/for-rent/glenamuck-manor-glenamuck-road-dublin-18/5431908,1970,New Development ,1,1,Unknown
daft.ie,"O'Neill Court , Main Street, Belmayne, Dublin 13",https://www.daft.ie/for-rent/oneill-court-belmayne-dublin-13-oneill-court-main-street-belmayne-dublin-13-/5987933,1950,Coastal proximity with excellent connectivity to Dublin City.,1,1,Unknown
daft.ie,"Quayside Quarter, Dublin Landings, North Wall Quay, Dublin 1",https://www.daft.ie/for-rent/quayside-quarter-north-wall-quay-dublin-1/1446982,3590,*FREE WIFI PACKAGE*,2,2,Unknown
daft.ie,"Rockpoint, Newtown Avenue, Blackrock, Co. Dublin",https://www.daft.ie/for-rent/rockpoint-newtown-avenue-blackrock-co-dublin/5658301,2600,Experience Rockpoint by Moran Living,1,1,Unknown
daft.ie,"Occu Hayfield, Churchview Road, Killiney, Co. Dublin",https://www.daft.ie/for-rent/occu-hayfield-churchview-road-killiney-co-dublin/5899684,2100,Better Renting. That's different. ,1,1,Unknown
daft.ie,"Brickfield Square , Brickfield Drive, Dublin 12",https://www.daft.ie/for-rent/brickfield-square-brickfield-drive/5718274,2200,"Feel Comfortable at Home, Free Wi-Fi for 6 months – limited-time offer",1,1,Unknown
daft.ie,"The Residence, College Square , Tara Street, Dublin 2",https://www.daft.ie/for-rent/the-residence-college-square-tara-street-dublin-2/6275312,3050,Elevated Living ,1,1,Unknown
daft.ie,"The Carriageworks, Sheriff Street Upper, Dublin 1",https://www.daft.ie/for-rent/the-carriageworks-grand-canal-docks-dublin-2/6306467,2325,Exceptional City Living with Premium Amenities,1,1,Unknown
daft.ie,"Occu Hayfield, Churchview Road, Killiney, Churchview Road, Killiney, Killiney, Co. Dublin",https://www.daft.ie/for-rent/occu-hayfield-churchview-road-killiney-churchview-road-killiney-killiney-co-dublin/6289755,3900,Luxury Penthouse,3,2,Unknown
daft.ie,"Cathedral Court, Unit 6 New Street South, Dublin 8",https://www.daft.ie/for-rent/cathedral-court-unit-6-new-street-south-dublin-8/2929871,3103,Luxury in the heart of Dublin City,2,2,Unknown
